-0.00451182464633607+3.29991543316732e-17i,-0.0970814188270695+4.85786563390073e-17i,0.0431463848991924-3.36599986276524e-18i,-0.0103611878026196+2.43391647338971e-17i,0.0333920774194187-6.23950437964892e-18i,-0.0348823847268053+6.29899549820935e-19i,-0.0064037832936377-4.51865512178168e-17i
0.00476565032247079-3.73276789388371e-18i,0.001248385514198-2.44770376735175e-17i,0.0312980070272565+3.70999385858589e-17i,0.0273868821237072-1.15011493424845e-17i,-0.038381554210762+2.51782290814463e-17i,0.00741953503873894+9.84673740329369e-18i,0.00573801751460525-2.33375275068371e-17i
-0.0443192859109009+3.37262981243169e-17i,-0.0281640978352373+3.70032890407781e-17i,0.0606304218076805+1.47225377980891e-17i,0.0209972594938209+2.53561853719475e-17i,0.0304209304258042+3.93871713594099e-17i,0.0685349318491376+1.47072307284376e-17i,0.0406075848488749-3.79162185587948e-17i
0.0328048884567511-3.6467798189752e-17i,0.0549680790020651-9.53963902802722e-17i,0.000479017060452424+7.70339047369207e-17i,0.0917112869799172-3.26010966088807e-17i,-0.0619303046407495+3.15854427157543e-17i,0.0113671446292588+8.84428872764307e-18i,-0.0276399141092645+2.51395595248018e-17i
0.0030964798648617+3.345165557207e-17i,-0.0715807360298769+2.30718938142863e-17i,0.0367544016042073+1.64525898258014e-17i,0.0335971646690174+1.55364758415524e-17i,0.0536593503207249+2.07364581660736e-17i,0.0352294873836185+9.16020240080301e-19i,-0.00761904920035988-2.82043893451693e-17i
-0.0526721057020738+2.47861647886667e-17i,0.0417673076068616+2.32689520300583e-17i,0.0399606458083682+1.41484288857146e-17i,0.0104761694614939+3.30165748473675e-18i,0.0338613000401693+2.52503161612553e-17i,0.0438374047784079+7.38954812226235e-18i,0.0681083770258146-1.47572707215124e-17i
-0.0941417678917203+8.75478103727508e-17i,-0.00447738137863816+4.85952267034167e-17i,0.186101775525989+7.68887350327257e-17i,-0.0153285995428883+1.28585627886896e-17i,0.0910797999401597+6.40137285814068e-17i,-0.00982987908793103+1.68189226550924e-17i,0.0729206513659803-6.78081930805103e-17i
0.110541337391911-1.01559857637326e-16i,-0.0238974501586407-1.06585311221266e-16i,-0.149444077805771+5.27073736379241e-17i,0.140512685565635-4.18504024445062e-17i,-0.103138020635419+3.9548906999439e-17i,0.00906239687595801-1.31762089662978e-18i,-0.0508813437984792+5.359101842433e-17i
0.0222194749458359+1.14341588212849e-17i,-0.0396912601100421-3.65922111571679e-17i,-0.0348178672845537-4.02204054832779e-19i,0.0206680834364262+1.17203461485219e-17i,0.0754552639563131-1.72641562722487e-17i,0.0616634555516964+1.89152601388135e-17i,-0.0910927272686118+1.42700502738554e-17i
-0.056375820291704+1.87215108154893e-17i,0.0413665845328868+7.91195312350916e-18i,0.0398720302350539+5.50334570433081e-17i,0.0322771299212564-9.20414083034698e-18i,0.0437460268189115+5.88747155551702e-17i,-0.0338617375220161+1.79966502831976e-17i,0.0802513686306911-2.75780476348997e-17i
0.0350210473427503-4.20198103363575e-17i,0.0293395795391282-7.11186056630416e-17i,-0.101829288743492+8.33846604442061e-18i,0.0109954790040818-2.94225821857016e-17i,0.0214409025780761+1.91837335588595e-17i,-0.0126326030933641-1.78995963652842e-17i,-0.00475541953339323+6.22968454704975e-17i
-0.0293080849713559+7.14786658780101e-18i,0.0453706335981178+4.6854010906796e-19i,0.0698075149243459-9.32274677465879e-18i,-0.0250903070366835-7.18170664449727e-18i,-0.112132258212258-4.52719715129951e-17i,-0.0163521535208702+4.33328822123937e-18i,-0.0468002056825537-1.66482211093331e-17i
-0.0414508853093236+9.23045600522342e-17i,0.0310586338753887+4.41114857768294e-17i,0.09100251266509-5.09264824547873e-17i,-0.0189531424458534+5.45636692782928e-17i,0.132212698459979-2.03306791209748e-17i,0.0394728006146019+1.14933958805363e-17i,-0.00765425621522375-3.23086950043954e-17i
