-0.0093944813659503+2.44834072415436e-18i,-0.0350490715650087+1.16873559723308e-17i,-0.0359246091623602-1.69116002599775e-18i,-0.0600175496059615+5.48757660879955e-18i,0.000493541628477804-8.79593197311792e-19i,0.0149132862761543-1.41083612666235e-18i,0.0508996920081013-1.66659497229111e-17i
0.0180064836267127+1.57072265971656e-17i,-0.0757386081200444+4.80077327187884e-17i,-0.00428644633895462+1.82282184863861e-18i,0.0710515497303142+1.07845706453172e-17i,-0.0313224954938966+2.93691097870574e-17i,-0.0623530107835398+1.06482959047755e-17i,0.0318407696937418-5.80482706637906e-17i
0.00698355366649396+1.41826315329305e-17i,-0.0475784704789908-3.27727722599367e-17i,-0.0234187783635114-3.36162536356157e-17i,0.0810150771538162+1.02909751233834e-17i,-0.0553336633905251-6.1378494418053e-17i,-0.00995079431404637-8.24292789576637e-18i,-0.0650710999929087+2.46057095808948e-17i
0.0305182129157087-1.07166974592862e-17i,-0.0726937075507786-4.67249207590783e-18i,0.0659907347527765+2.33668871773059e-17i,-0.051051693780567-2.03853529232515e-17i,0.00517350142099685+2.6158672589467e-17i,0.0904374296578027+8.97282442809714e-18i,-0.0331522254543364-2.46874728879282e-17i
0.0171457468062415+2.88666039615531e-19i,0.0722524980026754+2.59597935516826e-17i,0.0703976238688499+2.39886330927643e-17i,0.0162715416393739+1.90012105233495e-18i,-0.0101940414785832+8.34214638932572e-18i,-0.0822498909321916-5.52598799772572e-18i,0.0129508535366642-8.92235382435923e-18i
-0.0272043047953983+1.78588942828942e-17i,0.0252455265617254-3.05606709568388e-17i,-0.0253169481794953-7.44498864722453e-18i,-0.0837349338791199-2.19650791016239e-17i,-0.0210129661594742-5.77990618620964e-17i,0.0631317045348035-2.46397197961504e-17i,0.0392270646031046+1.12973273904521e-17i
0.0195005790504974+1.99044324456108e-18i,-0.0867943358767822+2.22699777324921e-17i,-0.0331802416152882+1.17656369976131e-17i,0.0165982508070777-8.44357425685345e-18i,0.0785155464829767+4.37914512368358e-17i,-0.0432961052610542+1.86512553552487e-17i,-0.0354935537966939-2.42911077018109e-17i
-0.000837606839438806-2.73328637193864e-18i,-0.0437702007014753-2.28474056049722e-17i,-0.0404532684753577-2.60440371056439e-17i,0.0200133515963314-1.22804316132408e-18i,0.0247850800476128+1.1034866442405e-17i,0.046932632705146-9.02554180165793e-18i,-0.0377883211062005+2.75869028895279e-17i
-0.0195424363840396+1.20688724094526e-17i,-0.0369587095930341-1.9799534763375e-17i,-0.0446812918707896-5.25927367008959e-17i,0.123589748251233+5.17912472856105e-18i,-0.0907663054890334-5.18260229823184e-17i,0.0266689982055362-2.28021942246847e-17i,-0.0232146521354311+2.88039883951639e-17i
-0.0190757670858701+1.21800456622016e-18i,0.111008902643422-1.60764377611424e-17i,0.0311580039450453-5.86881008642543e-18i,0.099251612946002+1.09747673065723e-17i,-0.0337474034344771-5.38272364617726e-17i,-0.0685726338038542-1.85266785871276e-17i,-0.0265785222021759+4.4862767409888e-17i
0.000453969917671326+8.13201913137984e-19i,-0.0479787104766684-3.76413080658879e-17i,-0.0437286623278866-1.68172828142221e-17i,0.114126980378192+7.05292715262964e-18i,0.0139901262769453-3.97017380648905e-17i,0.00511223337645983-4.06270294324888e-18i,-0.0561897729754187+2.69699626590585e-17i
-0.0290326063342423+3.41921013588354e-17i,0.00554260900832124-1.5555257014546e-18i,-0.056722076475305-4.06906417331728e-17i,-0.0468374338081793+1.27092273428033e-17i,-0.115061901046511-7.10780677641973e-17i,-0.0475556377121426-3.04946045918051e-17i,0.118418325702248-1.96621371168274e-17i
0.00721136128174774-6.48670928400008e-18i,-0.0304170437847934-2.26657942863069e-17i,-0.0520699537500809+9.42523597379933e-18i,0.071026054661337-3.57170095688836e-19i,0.144665612908984+3.56876105921556e-17i,0.0334360642927868+1.41095669847807e-17i,-0.0365961431749963+1.35701405566622e-17i
-0.0152196258890181-3.30104624209801e-19i,0.0167972015195655+9.66413275103528e-19i,-0.0168046849293596-3.73975603967741e-19i,-0.0131034640483371-3.85940957317239e-19i,0.0271836992226951+2.99254290857888e-19i,-0.044334118744879+1.14780401556701e-18i,-0.000417576518089473+1.03864448570403e-17i
0.0155306954437092-1.06903817168867e-18i,-0.135192499206109-1.77522939957104e-18i,-0.0183252978229867-5.57432624516418e-18i,-0.0621301210728092-1.80809824568842e-17i,-0.0307815434218354+1.04530781158389e-17i,0.0864437815664812+7.79542998388121e-18i,0.000532411944465707-3.64434804505487e-17i
