0.0539275617305287-1.92505189083022e-18i,0.0821141278898723+6.68286547330576e-18i,-0.0812915198274766+3.00844700375448e-18i,-0.0386895538385651-1.37905902916664e-17i,-0.0658432543906068-1.18817825421156e-17i,0.0277621947624168-3.51265045054679e-18i,-0.0478621410363187+4.02785369333164e-18i
-0.0261200682698296+8.56644431393765e-18i,-0.0165871779839509-2.32583098022283e-18i,0.0750136994015625-4.16304607303612e-18i,-0.00792586524685332+1.46121427457387e-19i,-0.00827651059971597+1.03729267782434e-18i,-0.0251315916219074+4.24968743216687e-18i,0.0237229615516525-3.2007999581171e-18i
0.00974828690533328-2.76237817476545e-18i,0.0412750660282957+2.09255842336145e-18i,-0.0434370738810619+5.59430727057859e-18i,-0.00213071108695076-7.13002367033513e-18i,0.0223731509276863-8.07073771234492e-18i,-0.0329401141110149+1.8110244688757e-18i,-0.0308803488118253+7.23866550446565e-18i
0.0125280972331547-1.67946247577516e-18i,-0.0121830968815404-1.0924428564168e-18i,-0.0216542278656063-7.35593436848295e-19i,0.102454193975712-4.45361223285062e-18i,-0.0407378484246485+4.42778558602356e-18i,-0.0149518078525482-4.27324698901154e-18i,0.0210835955079452-7.2234022884328e-18i
-0.0198394773705514+8.99815930104984e-19i,-0.034173811302556-4.80989982071115e-18i,0.0206509416180425+3.98521895208981e-18i,0.0503124102360852+2.18112287311765e-18i,0.0125978120573913+3.9322240046001e-18i,-0.0795766855325492+4.24919594868331e-18i,0.014309592148271-7.47971331697829e-18i
0.0043300518946836-2.5549993984003e-18i,-0.0103386015044509+2.14945366924715e-18i,0.011287281327187+6.81013192662781e-18i,0.0376529725629076-8.32429875070884e-19i,0.00214130241101208+4.27344969287989e-19i,0.0368541691159775-3.68029149987299e-18i,-0.0371036369421198-1.65802875366675e-18i
0.0302504776452756-5.37344979913572e-18i,-0.00704899126189712-8.82743465213596e-19i,-0.114451350648217+1.13295463178861e-18i,-0.0403676150621257-7.73510881438823e-18i,-0.0280785140207762-4.56293692685213e-18i,0.00414374092351275-1.05558144296221e-17i,-0.0332901611479536+3.39120266627796e-18i
-0.0390604478317565-5.86158974590761e-18i,-0.00685167263552438-3.44065875319144e-18i,0.104614543265647+7.44976142386258e-18i,0.0325446218717502+3.17880546149817e-18i,0.0469043167861739+9.71140368087743e-18i,0.00582561264444688-8.39325060170584e-20i,0.00487533203453966+3.43564588935592e-18i
-0.0429042492108437+6.42922494523198e-18i,-0.0705047428762481+8.18718962218557e-18i,0.0581324494767486-2.70315505834908e-18i,-0.0015561105832482-7.36273804523809e-18i,-0.00628859689414384+1.03169536939182e-17i,-0.0245051714958895-5.99537676828894e-18i,0.0708165851002654-1.01278230429945e-17i
0.0454131296439408+7.06278154549813e-19i,0.0611860688976848+4.48344729191654e-18i,-0.105251461259063+6.18726351032152e-18i,-0.0885841371494487-5.76923763897785e-18i,-0.000154478143124141-1.74982715380599e-17i,-0.000402130444427719-6.38759722995001e-18i,-0.0878338424958494+6.89921882766517e-18i
0.00183824496652499+5.98408648401685e-18i,-0.0143413097801107+1.46355878742629e-18i,-0.000595458500420772-5.72385785430129e-18i,0.0111424607708521-2.87066934195139e-18i,-0.0132368462820896-2.63687043627301e-18i,0.0251016426616899+3.84104382725012e-18i,-0.0104840172027782-4.63779705047722e-18i
-0.00901252032165917+8.4748853646668e-18i,0.0376549413153414+2.35892454372821e-18i,-0.0178767831915467-7.27256719025198e-18i,-0.00712179688878767+3.83543577882694e-19i,-0.0200826553264621-6.09176363280155e-18i,0.0206939098730063-2.48896605252083e-18i,-0.0116658885886865+1.603301723493e-18i
-0.00613087219991968-1.1452901944005e-18i,-0.00970264813487788+4.85501532257747e-19i,0.0015485662205488-4.63834675678523e-18i,-0.0142486883657255-1.1168953188652e-19i,0.0301712361383298+7.67407400271e-19i,-0.00688483551520711-2.77742122480522e-18i,0.01774679393711+9.6623921394632e-18i
0.00165763494877585+7.39063094078693e-19i,-0.000731765670323858+5.95603858603906e-18i,-0.0124816119309219+5.95294028476179e-18i,-0.0395302867419221-7.47153630862704e-18i,-0.00808304124336258-7.03956303352629e-18i,-0.048126055405548-5.04625258893329e-18i,-0.0159804675881056-8.16676714675089e-19i
