-0.000366368746329811-7.12587519374261e-06i,0.0474247807771484+4.08292075201993e-06i,-0.0207449949762139+8.28483765484764e-06i,-0.0129838636260565-8.29530368922562e-06i,-0.00962996086958859+1.49875822523551e-05i,-0.00391004270145012-1.85439572527087e-06i,0.0195336564977158-1.92618357629043e-05i
-0.010375020395547+2.18638948534157e-06i,0.14164526921788+6.12754935952805e-06i,0.0485895844338037+1.19907984940914e-06i,0.0252185624621903+2.06455794801228e-05i,-0.0264874344856565-1.14486974183399e-05i,-0.0530692148928246+1.28864799345354e-05i,-0.0402872661830185-3.33106135127796e-05i
-0.00428761095068355-4.29020093048151e-06i,0.000640492658267318+1.52268632884439e-06i,-0.0138361530861982+7.3839763305129e-06i,-0.0313405422476817-1.91382604554328e-05i,-0.00483712856572018+7.15243268071046e-06i,0.00918215996960658-8.95127386191739e-06i,0.012734417970664+1.11263812370836e-05i
-0.00564363888094647-2.29891223043658e-06i,-0.0139692214681315-1.22976786661027e-07i,-0.0186313249990356+5.48052194740939e-06i,0.010359148349931+6.29423904390884e-06i,0.0371653596753963+6.92467438531554e-06i,0.0406513049198359-1.67815485789583e-06i,0.0272735775076769-2.16782161074387e-05i
-0.00687558293058435-7.99063350435918e-06i,-0.0734456636911253+3.32423979951674e-06i,-0.0181830007050628+1.50160998276927e-05i,-0.0374097275060236-2.19444854147233e-05i,0.00709353253573737+1.55498356752105e-05i,0.0178847563749753-1.52695722618632e-05i,0.0307443991355224+8.46522735003881e-06i
-0.0192280584865358+3.68305494166924e-07i,0.0952553774244436+1.39191045899264e-05i,0.00716047232830389+2.33480830982308e-06i,0.0206537193879714+3.22105315148567e-05i,-0.00161502373414014-8.67077734913375e-06i,-0.0332357769363132+9.37266282615407e-06i,-0.0498876462012371-5.41264950538092e-05i
-0.00758954770833228+3.34156800877505e-06i,0.0262496200180616+1.24378146780112e-06i,-0.00370552893498976-5.40678373733334e-06i,-0.00350321235689807-3.64847672405988e-07i,0.0266807328254319-5.64139246896028e-06i,0.0531631165983759-2.78386444821045e-06i,0.000668014020531621+8.77426820050021e-06i
8.96588043581637e-05+8.5688033897457e-07i,0.0196208422138547-2.83779955858638e-06i,0.0789954521003056+4.8170139905468e-06i,0.0121131812163844-5.22138242136549e-06i,0.0175556567226461-4.30043268493916e-06i,0.0776326636598815-6.25588236785452e-06i,0.0584271796104634+1.45657325256482e-05i
-0.0136709907048076+1.7654987355937e-06i,-0.0388219979180078+8.5937821806137e-06i,0.0780408064719716-8.73047318878214e-06i,-0.0673537772366545+3.09946953098524e-05i,-0.0473980642054848-5.22818269885393e-06i,-0.0668515669695818-6.02660898178647e-06i,-0.127832013779311-9.66752637326018e-06i
0.0118067631025839-7.5655449295556e-06i,-0.0770577595089465-6.29208023972519e-06i,0.0555729154363607+5.83603289314275e-06i,0.00367796812201907+5.80590713560482e-07i,-0.0416515147510143+2.07244613009704e-05i,-0.0461938422279698+7.13104927278967e-06i,0.0443784926654603-2.09508919536634e-05i
