-0.00592329758231176-5.52953227938388e-06i,0.0585835636302017-7.65200705885935e-06i,0.034029482567565-1.29521017976684e-05i,-0.0438962399153665-1.84118501055783e-05i,0.0126452088211856-4.59301130820349e-07i,0.0135607856360445+5.54499433556315e-07i,0.020668993112164+2.83218040754534e-05i
0.00353914947990255+9.45707330664946e-06i,0.0545764815682003+1.25369273026126e-05i,-0.0388701692731091+1.0269029157327e-06i,0.058193273375807+4.87581666844067e-05i,-0.00371374544602829-2.30885877881475e-05i,-0.00535666405483557-1.6377432794537e-06i,-0.07839876981642-3.16065455416225e-05i
-0.0104367465635156+6.50122005665061e-07i,-0.0329979054979381-2.05200807382706e-06i,0.00428114472774504-7.21972457804635e-06i,-0.0351551772168184-1.60556589822523e-05i,-0.0520714047115356+5.48019886937149e-06i,0.0244473802984936-1.20074979605677e-05i,-0.00609432570118922+3.16558133405904e-05i
0.00456398548222264+3.4703240612567e-06i,-0.00477839057467287+3.58685630822718e-06i,-0.00671330016780292-4.11369737422273e-06i,0.0114060318640379+2.08541721566172e-06i,-0.0129657998386301+9.69486061786208e-07i,-0.0189449604454686+1.70730682242989e-06i,-0.0102765862288524+1.63495571509332e-06i
0.0231390850865432+8.95676957199634e-06i,0.00227018309152686+9.09881798136557e-06i,0.0629914764468159-3.88428418054076e-07i,0.0571280691468244+4.2391164720584e-05i,0.0113348388148884-1.96596291258229e-06i,-0.063699359470463+1.60739341854603e-05i,-0.031008534288144-3.946707042395e-05i
0.0187889816428852+8.21000810670409e-06i,0.0368637916193866-4.21719959247848e-06i,0.0552889390878651-6.81430598234873e-06i,0.0394663805831491+6.22082109781617e-05i,0.0365959581118917-2.2950222758859e-05i,-0.049819438937463+3.3954818987714e-05i,-0.0344589309507943-3.0523969294091e-05i
0.0139029474764066+7.996421934289e-06i,0.06329008958878+5.24517407506403e-06i,-0.0133412798569689+2.70526349114326e-06i,0.0343273888894486+1.89105149909934e-05i,-0.0217508870682513-7.73328148744038e-06i,-0.0314619603549562+4.47441146814304e-06i,-0.0269358413976339-1.37852293806537e-05i
0.0115631641015394+7.05118032742837e-06i,-0.0230026046016418+5.75692012308008e-06i,0.0263261026277435+1.74179451547577e-05i,0.0717986324506307+6.53979222524335e-05i,0.0509822212692164-6.96945323894897e-06i,-0.0176790036814725+1.19632061078122e-05i,-0.0462613939385573-6.63749103913881e-05i
-0.00841652797069054-3.6953526828769e-06i,-0.0545905496788101-2.90623740728839e-06i,0.000463583683890277+1.23807865027717e-05i,-0.027589446158225-2.48887832894846e-05i,-0.0465703173356187+3.62780015944448e-06i,0.00472925822417507+3.37447108157305e-06i,0.039234892852767+5.24586039201012e-06i
0.00405194721352202+4.15946719983829e-06i,0.00738782150596898+9.47531365034513e-07i,0.0313186538968168-1.57657930741549e-06i,-0.00644156766035014+3.04469378240129e-05i,-0.0450551708662739-9.54477159338247e-06i,0.0051956125591235+5.18186750739202e-06i,-0.0362478369712377-1.21353827923911e-05i
-0.0194653751937371+2.73989744860006e-06i,-0.0405705090142178+9.84436074131194e-06i,-0.0280264533373074-7.45105242084654e-06i,0.0108241944591439-3.35992032903578e-06i,0.00318022120035781+4.62737948825582e-06i,0.0192701253591898-1.61234871621127e-05i,-0.0304203176934275+9.51034775557837e-06i
-0.000218722423145766-3.36881806451588e-06i,-0.0798958139811567-8.01664276560462e-08i,0.0204182261873329+6.34463696078957e-06i,0.0307180417479711-6.99516646713085e-06i,0.0266603157443472+1.16825398007951e-05i,0.0139092513501125-6.83839152997239e-06i,0.0268952737387595-1.18242155177005e-05i
-0.0150928767979228-1.23050160400279e-05i,-0.00593958397959334-1.56550637435915e-05i,0.0116099271569804-1.32224139333182e-05i,-0.0839351333494544-3.99645046759379e-05i,0.0351344765109971-2.18212040139018e-07i,0.0128026599362486+8.55984166239211e-06i,0.0486334373407754+4.46731411108342e-05i
-0.0164055562048081-1.61447644942753e-06i,0.00247233048473941-1.92921497976009e-07i,-0.0390976965256779-7.7078849665549e-06i,0.00639352678208492-2.36443241362056e-05i,0.012639444763054+8.87299296430975e-07i,0.0344252305688988-1.22052265675994e-05i,0.0126906087427732+2.92331137005679e-05i
-0.00345143598644816-9.35890610394726e-07i,-0.0523252781638508+1.78468873467215e-07i,-0.0410332019138646+4.08147479863631e-06i,0.0198969464418439-7.64009153297461e-06i,0.0289659317671534-8.69164339188618e-06i,0.0230654741216501+4.14577512230796e-06i,0.0331977615197586+3.8316138205581e-06i
0.009033469984437-8.27799216600002e-06i,-0.00796326868783141-8.52069456238063e-06i,-0.0449106744795067+4.15156879008902e-06i,-0.0330109631590305-2.92113276003076e-05i,-0.0375326760607388+7.59222013349569e-06i,0.00137789459837463+3.76422377378739e-06i,0.0529706601840474+1.22772131561784e-05i
0.0157481960014113+2.45377755118836e-06i,0.0416275976069004-5.09847746562909e-06i,0.0137940427962764-1.24848755576318e-05i,0.000182296344339968-1.29613722724568e-06i,-0.0124190525075338+8.96934615751256e-07i,-0.017539248134845+3.13370577764301e-06i,0.00988635568195248+1.90862064865853e-05i
