0.128357691737176-1.49229721996539e-07i,0.0358292329667123+8.52363832425364e-07i,0.0659316292284264+1.17067133662235e-05i,-0.000816735668171684-3.37876337438631e-05i,0.00512060265840407+1.22135160339647e-05i,0.0197273230288261-6.06798052703489e-06i,0.0574406324177592+1.50031175985217e-05i
0.138712931659131+8.03771762628621e-06i,-0.0127152122684188-9.18140485922195e-06i,0.0525031788805244-1.68416240797963e-05i,0.0720987796766041+5.55464170505197e-05i,0.0712128743271757-3.14357362310885e-05i,0.032417210021245+2.4782223242439e-06i,-0.0447711576719817+2.78712099639864e-06i
-0.164987945793058+1.03464651990325e-06i,-0.0234463529637571+6.58058219570142e-06i,-0.113335488429621-7.79348399266189e-06i,-0.0361482012733108-2.91762270495198e-05i,-0.0757766084270636+8.28718665648445e-06i,-0.0444875969850195-1.87396766387301e-06i,0.00467623930571734+2.44359732608571e-05i
0.00699194336642162+6.33843810344637e-06i,-0.0419208592824462-5.78248555290532e-06i,0.0366852144010395-1.32777668134216e-05i,0.00701253773713879+1.00651522610238e-05i,0.0104507960460726-9.74987060947836e-06i,0.000943994182050204-4.12410209614102e-06i,-0.0201084570836382+2.55175985045008e-05i
-0.0941080670786268+2.05105801122945e-06i,-0.0985840446151302-3.17199203992899e-06i,-0.0509820686371379-2.58839911140808e-06i,-0.00544505305422203-8.27437908344135e-06i,0.00836110135178199+3.76860819438097e-06i,0.0152538828909082-2.42907463516794e-06i,0.0250400764348068+1.35527634093267e-05i
0.0639744890502793+2.36214233161382e-06i,0.00671965658281188-6.16609092406515e-08i,0.00669182425035474-8.51339556037713e-06i,0.0315030441544342+2.0069229064455e-05i,0.00439038465147387-9.33987611792535e-06i,0.0124143037509457+2.93469667268904e-06i,-0.00452477246848158-4.12242310941335e-06i
-0.0198092486428075+5.23659477207763e-06i,0.00868253994304159-7.4842008845218e-07i,0.0194935829641667-8.76544384180653e-06i,-0.0244697258068683-1.97529503129534e-05i,-0.0240580426725076+2.44648319577714e-06i,-0.0302717716634055-7.75496991253947e-06i,-0.013516028534747+3.67833876827779e-05i
0.126631045277744+2.36150987088955e-06i,0.0637248663135609-2.16740327581043e-06i,0.00176031525344557-1.51946400327683e-05i,0.0496950409439868+2.4117229498156e-05i,0.00497247496956882-1.19914927969645e-05i,0.0168089546725727+4.98621144412372e-06i,-0.00541495583211293+1.21399620300823e-06i
-0.0136315708500762+4.89917632127356e-06i,-0.0622188925716497-6.82583182598321e-06i,-0.0143258580830037-5.36626298721191e-06i,-0.0135163328579045-4.61143631203677e-05i,0.0108124818987164+1.73341255541528e-05i,0.00143407272687559-9.86577367554928e-06i,0.060253950589595+5.29104892678099e-05i
0.0224429476162526-3.08987348055831e-07i,-0.0177887466972096-1.77962245091279e-06i,0.0183409904118627+3.61592471110677e-06i,-0.0163266207314745-2.27372215630375e-05i,-0.00802341837678439+1.13343382448066e-05i,-0.0451363209041751-1.34600369980646e-06i,0.00973337865582893+1.07834828859432e-05i
-0.106313372610457-2.94420758958179e-06i,-0.0159020693664638-5.2550476583159e-08i,-0.0926578244372017+5.20771960487804e-07i,-0.00734647708945036+7.60061964172294e-06i,-0.0202495461668672-7.45321694706227e-07i,-0.0655512527260463+8.12204514102995e-06i,-0.0395539675862588-1.66479740220351e-05i
0.181915437421233-1.0941972797793e-06i,0.0671192299362976+3.11228784926099e-06i,-0.137639712380999+1.00722589007146e-05i,0.0939103474878556-2.6555188666102e-05i,0.0495727949537959+3.38430062742702e-06i,0.0835944835614335+3.73505593584347e-06i,0.128339962230659+5.8139194698018e-06i
-0.0502774613202077+1.18464217384477e-06i,0.0626318393561178+9.91443945630044e-07i,-0.0755540307863925-3.29361236393411e-06i,0.0190086376747974+1.88614563174651e-05i,0.0308952188832279-1.5231064245194e-05i,0.0226110838390232+6.38435305280242e-07i,-0.0351891479565651-1.488758242878e-06i
0.00401278531272187+1.63593795882512e-06i,-0.0201631741563515+1.15462215640465e-07i,-0.047872952582126-1.09424785721789e-05i,0.033047038757351+2.49461141604218e-05i,0.00752667454345702-1.38620601602799e-05i,-0.0282805403295815+6.69991558997065e-06i,-0.0311637071995914-6.30291126688424e-06i
0.0277104039491923-2.90915071302715e-06i,0.0647703658277064+4.08213306680426e-06i,-0.0599810024472246+8.27103424852654e-06i,0.0294578845369521+3.37801550750872e-06i,0.0290725550155552-5.64515483873068e-06i,0.00679177104372432+4.13614290818933e-06i,0.00261729804965862-1.54439560310315e-05i
-0.0631935458073164+3.17589731620852e-06i,0.0148520530713909-4.17653038427151e-06i,0.141298128123812-1.58652512446586e-05i,-0.0350090668777094+7.5017038740312e-05i,-0.0709156383333783-2.67316233996165e-05i,-0.00451236883794129+2.9502793344478e-06i,-0.13425755211313-2.98997348316289e-05i
-0.0387704553030176+3.6299241360792e-06i,-0.0544753450661918-6.49700995515645e-06i,0.0110737601119578-1.38596963502383e-05i,0.0125756266122274+3.61189401867448e-05i,0.0392593471597242-1.54801873599618e-05i,-0.0193985854686841+2.20066822129916e-06i,-0.0619699249456653-9.79947416675675e-07i
0.0999307650573671-8.09599824063085e-07i,-0.0504803253109859-3.99343082340852e-06i,0.0238225117213071+5.72556739476284e-06i,0.0421702211953502+1.9788797361134e-05i,0.00154690341151084-4.32270615144326e-06i,0.0457829957273113+6.3756645932727e-06i,0.0412251919100783-2.39341824665705e-05i
0.134019948744957-9.41135946956559e-07i,0.0173950000500664+9.05198566995867e-06i,0.015888940646358+5.25376482985091e-06i,-0.0101241351414884-8.63823745962995e-05i,0.025234249477179+3.60233675324284e-05i,-0.00815891812326999-1.15949667414611e-05i,0.123005237758468+4.73038645376787e-05i
0.00914289589958551+2.23066499382786e-06i,0.0478489388330551+3.67219033599459e-06i,0.0582989246047891-1.70047026700695e-06i,-0.0611635705471405-6.69334749586426e-05i,-0.0287396223310029+2.52690542215828e-05i,-0.0404856114706033-1.46681328312507e-05i,0.0312986180704452+5.53380214090022e-05i
-0.0632434656417921-4.91418041576437e-06i,0.0907176632364559+7.15891010585987e-06i,-0.0845044285972963+8.23114462271645e-06i,-0.0148565839655332-1.63006525444435e-05i,-0.00793868195339115+4.15946617564587e-06i,-0.005145749655599+9.42922501537188e-07i,-0.00233349015851345-6.2266459933625e-06i
