0.0162732093666442-5.32665146950012e-05i,-0.0287757711608647+0.000166664709249414i,-0.0393905798796698-6.04531668027603e-05i,0.0239958037326682-0.000103031169983831i,0.0115456360551783-1.52230288688006e-05i,0.0145887006787964-2.1679554420013e-05i,-0.0680964701888459+3.4861586456967e-05i
-0.0232178180895268-7.17725257252206e-06i,0.00396694161395635+5.77580427454499e-06i,0.0332809031303417+8.34490206892835e-05i,0.0268899761780181-0.000157602530674668i,0.0335533269501781+1.12090970450105e-05i,-0.0121597491012954-9.43888902495991e-05i,0.0432890768567119+2.01793680638752e-05i
0.0321771863508759-5.16434750056054e-05i,-0.0101849727423033-2.46584532116701e-06i,-0.0656866002066885+2.50587679810617e-05i,0.0308248229126391+5.3730834658506e-05i,0.0137696079731594+1.14800519415764e-05i,-0.00909231090856237+0.000159937857937033i,-0.017551239010516-8.47037697286658e-05i
-0.0342049986489959+2.88429880969238e-05i,-0.00569123963001645-1.339193691832e-05i,0.0969386063534868-7.09179898264658e-05i,-0.0444066534947567-0.000496747725134164i,-0.0410752001367869-3.53395197134413e-05i,-0.0499638556584068-0.000617762038616522i,0.00854846213735821+0.000304556047083388i
-0.0141111028060918-6.42007409055468e-05i,0.00833963950332557+0.000102667053458237i,0.05821714403346+0.00020569551472357i,-0.00655159135097526-8.59412572715008e-05i,0.0647692565694209-7.87566635985006e-05i,0.030990352182702-1.76087877963448e-05i,0.00355249726596945-9.02201065223425e-05i
0.0038536622523933-5.27461186944722e-05i,0.0248078671733029+1.98744761951133e-05i,-0.0152104257745861+0.00026712854196436i,0.0259341978127701-0.00033716041932782i,-0.07508550700662-6.17904615545002e-05i,-0.0355272970366201-0.000218133314060793i,-0.0164940608971974-6.14937881515031e-05i
0.0298987979740211-6.84502330367149e-05i,0.019246746210304-4.41711785082075e-05i,-0.0704341777182761+0.00022998444120589i,-0.0494103269976839+0.000127482460541073i,0.000783869704598027-0.000138293934948836i,-0.0161367173740197+0.000227765633087391i,0.0134644814138998-0.00024441168917884i
0.00979077259396196+0.000172168151377072i,-0.00668102708242142-0.000189364044888022i,-0.0263476026915557-0.00047585898184569i,-0.0320409625354368+0.000384245671471925i,0.0220890905827261+0.000214451621203118i,0.0256699650367107+0.000161559713970939i,0.0200142127288813+0.00019630419784765i
0.00632726517607439+0.000224857631512786i,-0.0298505229571241-0.000166694054576177i,-0.013069350479725-0.000830723752417975i,0.0138967803165258+0.000475879030494637i,0.0199180505503923+0.000306252470547477i,0.0110183830095406+0.000140409817824044i,-0.0349517061445503+0.000350064633498368i
-0.0280660166042211-7.50868544704755e-05i,-0.0455106336704645+0.000102764918484947i,0.0627118730650733+0.000265155008569153i,0.0514928761422391-8.76255020125569e-05i,0.026164568970383-8.60840732086075e-05i,-0.00530494711608856-7.62362515180435e-07i,0.0548175053031383-0.000100638180946455i
0.00770980084930955-0.000100389134565213i,0.0187887775800321+0.000120541870580977i,-0.00267285732907063+0.00021526123561016i,-0.0274705837056576-0.000452806404054301i,-0.0637544562141126-0.000161942570492588i,-0.0540351296689329-0.000399524928753461i,-0.0782552228979631+2.84321324149899e-05i
0.019409615231511-3.57138622037348e-05i,0.0239563625648485-8.56072243569787e-06i,-0.0232040623720674+0.000151961998093155i,-0.0729068395018449-0.000125767192943238i,0.00459178926226052-8.44241950107936e-05i,-0.0189803959882388-0.0001658456376995i,-0.0799871719509483-3.20612675825127e-06i
0.0281841325150104-8.96748045339985e-05i,0.0480190915638873+4.29011880866761e-05i,-0.0630736912842324+0.000244670244507597i,0.00541616782208663-0.000475837396239325i,-0.0313565862309943-6.54941784721326e-05i,-0.0369937588088489-0.000265557288681925i,-0.0186650968651093-9.81089215367891e-06i
