0.0188568681807448+4.05233859081069e-05i,0.00734264032484091-5.28126015551083e-05i,-0.0408656183389783-0.000162497787753793i,0.047690961274775-0.000267044452544437i,0.015889035558423+0.000131034831675447i,-0.0507608482574928-0.000107815257071109i,-0.0555283880481171+0.000152677345324712i
-0.00721491838823545-2.38958578411066e-05i,0.0579565888991833-2.99270023854545e-05i,0.0136225329570982+0.000308528935042133i,-0.0194563439751765+0.000187211932504855i,0.00810695559152794-9.64878340768597e-05i,-0.00554992828013437+0.00016822752072259i,-0.0526679629636426-0.000179160963671621i
0.0119676430037761-2.50524729443516e-05i,-0.0243891553487636+0.000158342314507479i,-0.0194332796593771+1.25105504644311e-05i,0.0543691178248922-3.48672937029787e-05i,-0.00478277940719052+9.19231027643961e-05i,0.0567663175540739+6.07252965779493e-05i,-0.0314595393119896-7.22359795869737e-05i
-0.010707100396689+2.34762162161527e-05i,-0.0405233799337932-4.79609798642775e-05i,0.0527338331520952-8.77237053791475e-05i,-0.0317619724432644+0.000144993312649211i,0.0427579140483975+3.58551250093644e-05i,-0.00044845237111507+4.76480213454089e-05i,0.0533010618987204+7.44625980502936e-05i
-0.0143638101746993-0.000122653603470437i,0.0318639192334744+4.51134672704622e-05i,0.0356229864969033+0.000776139873843545i,-0.0407544913157191-0.000121537603715225i,0.0331108119792433-0.000377370874752804i,0.000198841761109304-6.28212109907984e-05i,-0.00527913886664958-0.000296003638015648i
-0.0139105847474344-5.79218706850264e-05i,-0.0165528094491161+8.45331198407394e-05i,0.0144721576525066+0.000186549885913401i,-0.0359319448245635-0.000520559157294005i,-0.0518829673973773-0.000193001010043589i,-0.00830415884564827-0.000499076080278905i,0.0674377309198547+0.000117780522212137i
-0.0259028138278235+5.57872414749547e-05i,0.0569483335517496-4.76754201623989e-05i,0.0271216346719264+0.000101439786124707i,-0.0416327430465426+0.000413061004404749i,-0.01337609571609+3.40383154454849e-05i,-0.00189706815118057+0.000259846799609872i,-0.0797326659520086-0.000119645906740942i
-0.0327625677719713+5.72428852550802e-05i,-0.0593036893786016-1.27709532296055e-05i,0.044780153815961-0.000206496362356471i,-0.00681973132058637+0.000363605461609712i,-0.00327488608064903+0.000159701291973824i,0.0488279865144763+0.000276174790580476i,0.0208690896111383+2.52361465635557e-05i
0.00329858079151586-6.79602934439746e-07i,0.0449756714344125-9.55639992082839e-05i,-0.0341054399690042+0.000114091106718887i,-0.0388746951405067+0.000558603477065967i,-0.0111668000476341-3.35244583798778e-05i,-0.00830189123440227+0.000462112090503604i,-0.0390948937285709-0.000256079657999365i
-0.005387691918432-9.34951060974803e-06i,-0.0240777835290646-0.000126582104440948i,0.0236396447497235-0.000111995223747953i,0.0367008042422434+0.000475033086186939i,0.0519889930540185-2.98898927378174e-05i,-0.0653894968758699+0.000503467007913283i,0.03343323961263-0.000143653007491191i
0.0278321895111339+6.1436682114654e-05i,-0.0391259160027854-0.000233047774366275i,0.0153317100646715-0.000523770068862561i,-0.0516793143907441+0.000234572915514367i,0.0561838537985134+0.000115643331217598i,-0.0382621365891887+4.48266543065517e-05i,-0.029941551010631+0.000258329501488263i
0.0144290945669395-7.54232925518895e-05i,0.00661142363293499-4.73518629738466e-05i,0.00203224622553881+0.000214764670008123i,-0.077713012922039-0.000287099657770846i,0.0273190926329088-0.000232785942417832i,-0.0607552187536928-0.000331815050793902i,-0.00246044800957373+4.90774753187051e-05i
