-0.0108230531416391+0.000109974370232417i,0.00821892769361995+1.35191443500152e-05i,-0.00744820497397424-0.000181689251244718i,0.109144411416925-9.05531766430813e-05i,0.00845749701399503+0.000270813820137317i,0.0055324334221379+0.000261501830105243i,-0.104108178115901-9.87339717592051e-05i
-0.00693740495804736-1.04959297426001e-06i,0.0675283415622988-0.000182792932122556i,0.0281008392335465+0.000142602530053039i,-0.0163071882489217+0.0002206136215724i,0.0294658228486354-0.000116555384901365i,-0.0363451958899255-8.907707798052e-05i,-0.0695752958602027+8.87715542220916e-05i
-0.00521096021800598+1.58228301914323e-05i,0.00348544245327997+0.000100520993418664i,0.00601103850969134-2.05612021363213e-05i,0.0667505848916616-4.0634891417302e-05i,-0.00518735533535603+7.28715555972141e-05i,0.058235357006399+5.5699904480498e-06i,-0.0478541548038591-1.32409298762691e-05i
-0.0108746230537939+2.21438006133786e-05i,0.0309853357566738+1.3597384583042e-05i,0.0712199314036107-2.37819225680762e-05i,-0.0185371413872932+7.66765251929639e-05i,0.0490248352964525+0.000123052174902874i,-0.0312315743532369+6.88640611153763e-05i,0.0286511259728602+6.34035649171217e-06i
-0.00645585776606582-1.13649458194321e-05i,0.0508968024261324-0.00033957558807404i,0.051001287208157+0.000398209404671449i,-0.0437250348187863+0.000359029683757094i,0.0281672626939299-0.000407651336261266i,-0.0152776401263556-0.000270044241276363i,-0.0233539881501766+0.000231582600990628i
-0.00222411775154011-9.98021298087844e-06i,0.00374356422025724-0.000111725880876838i,-0.0235573272862379+8.16703572448971e-05i,-0.0491498261325571-0.000250646795521422i,-0.00447495821509402-0.000123114776825235i,-0.0492203279971096-0.000237836193408809i,0.0989374872794969+0.000136695335439024i
-0.0207710512369631+2.75069591201334e-05i,0.042789223724494-4.43840087908267e-06i,0.0473092279698+8.63094642594014e-05i,-0.0632767071868918+0.000231500555778942i,-0.0483086611861033-6.45242781513531e-06i,-0.00626909646748108-3.45160118840789e-05i,-0.0713057426731876+5.38252138760476e-05i
-0.0235263389356369+1.94162595978578e-05i,-0.0057472742835+0.000148378165828755i,0.0744345703404364-8.4491982925932e-05i,-0.0257620747558652+8.54368235238141e-05i,-0.0309220529449693+0.000179476860863439i,0.058165940348952+0.00013801191989261i,0.011035394786689-2.10423410596991e-05i
-0.00418356457737897-2.64137723883524e-05i,0.0429404494407046-6.99003121274015e-05i,-0.00831994051364774+0.000146355392506476i,-0.0738125076239975+0.000350092997091517i,-0.0252652666553264-8.45119345238125e-05i,-0.0359498857557262+4.74321049294326e-06i,-0.0476444339547295-1.04880086285818e-05i
-0.0229433542850428-4.46379826252569e-05i,0.0365349826005387-6.25337908641039e-05i,0.0253867288549654+8.22498954599054e-06i,0.0390390640768621+0.000209918892337344i,0.0678651799210707-5.05856787048819e-05i,-0.0927124754432268+0.000145645664996776i,0.0135747443109346-0.000110721768641044i
