0.0240785795887908+3.69752428383903e-06i,0.0203731535024546+3.15721387054012e-05i,0.0620035940879433-5.54058325480523e-05i,0.0753125459006189+1.80416946239899e-05i,-0.0249839926611952+9.39085570353913e-06i,0.0099215809532121+2.74962596940544e-05i,-0.0274064944284772-5.19645710757504e-05i
0.00660307413138205+4.51442725826273e-05i,-0.0562919728876074+3.34386679134275e-05i,-0.0134426447241125+4.26405982474033e-05i,0.0786399664827555+0.000133883371178698i,0.0322559747488891-7.00355885224924e-05i,0.035268783210985+0.000217455315727887i,-0.0307028528219887-0.000178090342963451i
-0.0461957415761017-5.75453077943436e-05i,0.0893162821237278-0.000131137160679101i,-0.0116589738135519-0.000110784786624737i,0.0386846368046743+0.000225287579847386i,-0.00224748949713388+6.64073216873545e-05i,0.055500162042117+0.000181683418968001i,0.0513376462100218+5.29583877297531e-05i
-0.0779996773402944+7.26518712285026e-05i,0.137404688758858-6.20122649286191e-05i,0.0331777214002107-6.30936292741988e-05i,0.0628462625092986+0.00020376058368587i,-0.0155014380950986-1.52705565861074e-05i,-0.0005529616909073+0.000218090808135096i,0.0121466880518078-0.00015457594890319i
0.0739123153447121+2.12590333888597e-05i,-0.154237377059609+0.000168158512779074i,-0.00866776044991635-1.9015287975317e-06i,0.0766623576938848-0.000190611811496898i,-0.016663950669152+8.91252425075395e-06i,0.0122059826286477+1.56736383924538e-05i,0.0045629141234988-0.000119580464956627i
0.00760718608223184+3.74319176042844e-05i,-0.0393292583635059+7.39345633198189e-05i,-0.0121733668641082+2.65292914062216e-05i,0.0135883762568642-0.000152246251256757i,0.109048975376847-2.77164674387198e-05i,0.0801445656678597-8.68411744759652e-05i,-0.0798729697060416+1.02532832266035e-05i
-0.0637691714278002-6.25919204406335e-06i,0.113503759838252+7.9537882428628e-06i,-0.0221904465048935-3.20442754715581e-05i,0.0742643514182825-4.30989761082834e-05i,0.00851029388534904-1.99517799024721e-05i,-0.035130248299228-1.222879975609e-05i,0.0816067264346985-5.33669847549332e-07i
0.017040376964167+9.17242705061197e-05i,-0.00195730192948081-4.59865730416157e-06i,-0.0373966082538774+1.52324225830176e-06i,-0.0299134030512641-9.27458615385922e-05i,0.0654499658480045+3.76511005291776e-05i,-0.0190424607303832+6.3726872198335e-05i,0.0238916557988351-7.54996969554558e-05i
-0.0144814715542762-0.000123806869602367i,0.0416905731710217-8.39042558507526e-06i,0.0852251477315079-5.08765651047215e-05i,-0.0357643368150255-5.26102349272198e-06i,-0.108662143029566-9.37427664062548e-06i,0.00130793135886978-0.000317761691796746i,-0.0593081423178138+0.000253454215954862i
-0.0305929372056023+9.1305404134624e-05i,0.110597291725609+1.21212224061871e-05i,0.0135255448892198+8.71298205399743e-05i,0.0287614738859289-6.6532612549618e-06i,0.101662496951845-7.48322793329732e-05i,0.0419734890441749+5.86178580526506e-05i,-0.0374653378278932-0.000142289947652252i
0.0360849802940937+1.58541664594274e-05i,-0.0171444072964127+8.34196094946756e-05i,0.0404069596789151+3.61141882029604e-05i,-0.0192306326255699-0.000177588033723386i,-0.102478259553752-2.79869826136326e-06i,-0.107922223456164-0.000148178261868705i,0.0173769923745917-4.23790464557381e-05i
-0.0162709502350639+6.67520442968086e-05i,-0.0308895411326261+6.33354734703865e-06i,-0.0222670376511211+3.82086679669195e-05i,-0.0167529894735717-7.85851951862848e-05i,0.00522264557964984-2.99255544970161e-05i,0.147520757940179+0.000105945748923266i,0.0704702232977343-9.28659638197131e-05i
-0.017221153165657-8.0299585495562e-05i,-0.0142607162879639-0.000165097712906776i,-0.0181194329124964-9.46323370768954e-05i,-0.0717089506536403+0.000174128363524454i,-0.012574177991708+0.000104105433166831i,0.0547195482868877+8.55128740363398e-05i,0.0492710217939343+0.000177002147991625i
0.00258252803056884-0.000181988414256881i,-0.0393421280358739-0.000236323142568072i,-0.0369072956757243-0.000183023425993976i,-0.0465459449708884+0.000300479170662415i,0.0263541540800643+0.000186787337634612i,0.0136694590710498+0.00010564402642529i,0.00268231523538784+0.000309344276412151i
-0.0400690079733248+8.81851103440032e-05i,0.00473275049567868+0.00011093419210955i,-0.00768100073675047+2.24393846809602e-05i,0.0916337090504776-1.38932954224161e-06i,-0.0613919117765053-0.000106562620534461i,-0.0344709700021081+4.9433262760643e-05i,0.00622848036084376-0.00020423702591772i
0.0719325383383961-2.14688874270778e-05i,-0.0645673781714814+8.66559496120857e-05i,0.0263610136110849+8.42196427663538e-05i,-0.0468813132039409-0.000165854939059574i,0.00875030748687717-3.31260437287457e-05i,-0.0364534681362618-0.000250827201339531i,-0.0885261610740989+7.05928858108299e-05i
