0.000462844755715378-0.000896471534080007i,-0.0159338058562795-0.0197007158183047i,-0.0149060535926177+0.0137559697660731i,0.00339574752346371+0.00141621542256593i,0.0190203553866357+0.0103310735989935i,0.00317326339967424-0.00537962908503118i,-0.0136906388986814-0.00278308998955039i
0.0077096721488406+0.000645216339462124i,-0.00479565330415586+0.00685158092400675i,-0.0134120966846294+0.0112311862368481i,-0.00210325238034765-0.0132033670487565i,-0.0555279974621998-0.00703077035270252i,-0.0370822482074426+0.00486494195711086i,-0.0347262431874036-0.000981809811191015i
-0.00116624643419647-0.000555627654625939i,-0.00789000761566306-0.000882241144861301i,-0.00348630886322697-0.00827977191922164i,-0.0305474626118635-0.0008965475158127i,0.0593798575485467+0.000269514206120591i,0.0169402892296454+0.00703636956393091i,-0.0132424474404629-0.00741779061503493i
0.00146199862290391-0.00058995867606997i,-0.00688353865737213-0.0280586357036888i,0.0160479769922825+0.00117443300456691i,-0.020983391278817+0.0225122131681866i,0.057543570633514+0.0115389021630897i,0.042364255093774-0.0135231908441447i,0.0163057692259853-0.00814858611612025i
-0.00627062188293375+0.000699861628052823i,-0.00391113824399742+0.0137801719735131i,-0.00749383881433776-0.0184735772438281i,0.0107493837358193+0.00379609307110355i,0.0332328406724952+0.00457077171168606i,0.0213164005662714+0.00137754905283884i,0.0215991778171553-0.00204921560364614i
-0.00332323233623457-0.00230381243831436i,-0.00847990201651658-0.0335264825229857i,0.0179918731395186+0.0181862258092056i,-0.0128603967109841-0.000648664428316643i,0.0484200403187205+0.0107959304120218i,0.0369420332022294-0.0110936060604966i,0.0173120482308657+0.0039018936307085i
0.00307988300705675+0.00026414609829874i,0.0220766604698824-0.0260324010197539i,0.043497680000878+0.0207005907029052i,0.0221688704032231+0.0153212369773956i,0.012911255554189-0.0044686032843638i,-0.00177019842921273+0.00857683370403908i,0.00292865780588053+0.00193394738617037i
0.00359462247785924+1.18488959019498e-05i,-0.0161357712512586-0.00697534996223547i,-0.00528076668238248-0.000419064501199676i,-0.0354287811027087-0.00096215693537199i,0.00247840746498904-0.00498922458058717i,-0.0121930447266987+0.00357412192770201i,-0.0185733764709028-0.00388577415102136i
0.0132808834652903+0.000771533130817783i,0.0133857152569264-0.00675144951595509i,0.00409449083115499+0.0207699483595761i,0.0137967779148006-0.0209992069869784i,-0.0789422709627001-0.0090950214411856i,-0.0435274041301241-0.0013017648116866i,-0.00731511776585435+0.0195657324940393i
-0.00047970058533772-0.000576120971271397i,-0.00345003260107067-0.00485516348038515i,0.00122547595748505+0.0215385895024983i,-0.043279571837408-0.00549837945555457i,0.0118980884911983+0.00590203134616187i,-0.0107974745704319-0.00517845932010588i,-0.0306329953416827-0.0182219380717806i
