-1.98622646541535-0.0407367850954243i,-0.246523238445882+0.0142675778940397i,-0.225181240280203-0.0266086875154984i,-0.212474148100852+0.0332391260424369i,-0.163924630106819+0.00421486144042237i,-0.108222945044579-0.00633095033572317i,-0.16028641405132+0.0146845687270811i
-0.00489197706529897-0.00111552298012407i,-0.00508091177585457-0.0147141375001364i,2.56059231609775e-05+0.00899752945911611i,0.000588370690777267+0.0219173933888116i,-0.00504685458165346-0.00063905411523312i,0.0103697962940752-0.00172321134641655i,-0.0189642147174642-0.00786273287931458i
0.0106048266746387+0.000336698011240327i,-0.0223515463430827-0.00434331244220563i,-0.0352968249574355-0.00486198709471958i,-0.0099576836710854+0.00552106239267069i,0.023948535224007+0.0114415483505691i,0.00668022975902813-0.00688106908534861i,-0.0182370986456269-0.0146017491582999i
-0.00860575072731019-0.000917087606028663i,-0.0349251651474733-0.0319606920805026i,-0.03892273587338+0.0304082436894758i,0.0107382279144076+0.00609991291947235i,-0.0295601754257395+0.0195804349079743i,0.0128640636409447-0.0111041633843496i,-0.0230856845860354-0.0106748370018715i
-4.52986068557116e-05-0.000380533265325922i,-0.0186380450243221-0.0194056937680776i,-0.0233579661694042+0.0175211461621211i,0.0298480005299309-0.0043911001725592i,0.0288087599312235+0.00587137962743701i,-0.0356230592965723+0.00791370515280449i,-0.0296144542855772-0.0140408156296945i
0.013288419589538+0.00166456605205814i,-0.0288330005742968-0.00842276879101011i,-0.0300667668694109-0.00502566487186862i,-0.0432446550205807-0.00318108227761967i,0.0339100720297938+0.00808698951259048i,0.0271799109073529-0.00599533643091291i,-0.00567591239842899+0.00844235814177718i
0.0226379418729054+0.00351511081591213i,-0.00289508267055971-0.0336400800579894i,-0.00447874537183991-0.0078199514410244i,0.00461793143427018+0.018965777458973i,0.0701898675833344+0.00225292814910437i,0.0425349194581068-0.00144474503958322i,0.00967532368768502+0.0318139988061401i
-0.0306912070534906-0.00302278406954327i,-0.00837607687220781+0.00863288466898704i,-0.0167817311052019+0.0186108080187789i,0.0460042207524627-0.00223667828716287i,-0.0800976570548249+0.0120093847731832i,-0.0240533309142825-0.00793692425812296i,-0.0268462401058614-0.034438495930416i
-0.00909129009838997-0.000113894285477342i,0.0194666916547511-0.0200370720912644i,-0.0118594599586957+0.0165206117063224i,0.0185168980291381-0.00741900412712012i,-0.0119760061108808+0.0111192775024222i,-0.0541979329627697-0.00782766901352079i,0.0222353404587192-0.0122708532655569i
0.0127330232330224+0.00252176789532033i,-0.018434551693157-0.033838960924526i,-0.0137909256999117+0.00582982307774042i,-0.0187310979088348+0.00520474794890557i,0.0171513548356744+0.010430574871345i,0.0475136156553043-0.00749530536381427i,0.0189555170985287+0.0200980827421432i
-0.00830727215520548+0.00156192018047414i,-0.00819320946033902-0.00461655896135886i,0.00427950429327365-0.0109655181000615i,0.0126337821971159-0.00765959759286884i,-0.033151014246028-0.00443701407675233i,-0.0163608040948366+0.00467529210625986i,0.0183623875811051+0.0160944322206143i
