-0.0506844642595833+0.00127846037547126i,-0.0184365029683908-0.0320700260373651i,-0.00490950892440408+0.0252630717228492i,0.0125700985607756+0.00269167926063019i,0.019241877434628+0.00469846380631351i,0.0134829931673195+0.00023364090007386i,-0.0089195145287469+0.00535129883623793i
-0.031657347215034+0.00304620297932428i,-0.0101325950031792+0.0155125627372988i,0.0240020924520366-0.0218415305484604i,0.0489005132639391+0.0176447882649913i,0.0160647475255341-0.0135700064416264i,0.0216042901057857+0.00316702836070358i,-0.0294166747857527+0.0171061711238647i
0.0782753763700652+3.91135965651993e-05i,0.00140611083469015+0.0040527901503068i,0.0130036464630717-0.00661761840671277i,-0.0316394306608405-0.00199825001500046i,-0.0246781259365764+0.000476003454493272i,-0.0675226777757154+0.00179153040815902i,0.0504354768801115+0.00352742149517314i
0.00116259332793773+0.00285595635568435i,-0.0093525784247972+0.0168427923690227i,0.00509723553671241-0.0232041972461966i,0.0375684411940527+0.0105009368574256i,-0.0239675504409401-0.000757052798137348i,-0.000873889839428483+0.0028465313033086i,-0.00233364545566174+0.0128004837234667i
0.0214013368984269+0.00139434870748078i,-0.0144127190952099+0.00172144548017731i,-0.0105134810101713+0.0013786668701265i,-0.0229321860171537-0.00279788501208636i,-0.0101567070699824+0.000555435378421386i,0.00168873717814922+0.00100927391079881i,-0.00525607986273649+0.0052802920287061i
-0.0205417144936563-0.000783506580879291i,-0.000940975505605601-0.00301003512239351i,0.00480694499688869-5.84480395913534e-06i,-0.0120870762157419+0.00271851926241752i,0.00763306790332386-0.00274171852737109i,-0.0270375778842182+0.000550959311385221i,0.00624139238047021+0.000531457452077204i
0.02256179103578-0.00120001757907224i,0.00752724151749514-0.00314968116505307i,0.0370324222683652+0.0139296530525178i,0.00272952163777362+2.51925483573277e-05i,-0.0165370768328804-0.00760452837843223i,-0.00925733251695248+0.0014663881429673i,0.0131654623024189-0.00337436947431124i
-0.0358687272046919+0.00169291526889886i,0.00923158056812555+0.0257321960480952i,0.0138372324498938-0.0359488797966492i,0.00309427511099399+0.00566973942117026i,-0.00380197255767992+7.36122338690389e-05i,-0.0231980227830877+0.00387087110560894i,0.0413885167689307+0.0118786140371876i
0.000592868365360368+0.00394253996774211i,0.000933609011074996+0.0177359834175822i,0.0271430067188864-0.00224186664361131i,-0.0146299115883284-0.000719734046366171i,-0.0239859202239122-0.00706659662526905i,0.0150072825769503+0.00534624451842243i,0.0143307684876623+0.0114872189319597i
0.0283233904908903-0.000517654543447445i,0.0192460103483999+0.00171978667709752i,0.0330379074568501+0.0164278231524859i,0.0327859862836894-0.00460968890968116i,-0.0261463275128233-0.00370345427174666i,-0.0212607320069146-0.000314369014036394i,-0.00279643843616263-0.013526233794035i
0.0655753021096611-0.00290321983805913i,0.0474622729213078+0.0255778212383134i,-0.00279251198070622+0.0126586409419503i,-0.0134319069469033-0.0194565115854592i,-0.0178876273648412-0.00506121611230455i,-0.0573032317011447-0.00318789729190618i,-0.0321918490090423-0.0341212078342551i
-0.0797017894001783+0.00131961904033408i,0.0128526182800059+0.0219133024553518i,-0.00303152262233818-0.0324872319220627i,-0.0766498520464599-0.00170038400158353i,0.0554074594972353-0.00262986028343722i,0.0126745351438849+0.0015589327469i,0.0550764668876819+0.0202733406897413i
0.00440668885615558+0.000677492440383703i,-0.00149786619686639+0.0303313144782085i,0.0357226508529985-0.0289799313146226i,-0.0274152724942623+0.00733559936056013i,0.00258892063968666-0.0153211833301188i,0.0678055500008562+0.00254525682540013i,0.0180848362042051+0.0173104644335668i
0.0412348681249286-0.000514548842897026i,0.0201023092747921+0.0247082457333478i,0.0171861631736996-0.0202672616984667i,0.0293017017355009+0.00541341139354516i,-0.00261945969030999-0.00758608047007526i,-0.0455145083973976+0.000161356993336896i,-0.00721558747929051-0.0042857499101008i
-0.0188726079018165+0.000120633727180137i,0.0147495052361802+0.0194823996567234i,0.00523685889671847-0.00528588316807016i,-0.0188736328513344-0.00214071996257659i,0.0261104363067943-0.0112185080725366i,0.0244306215299665-0.000826057744256143i,-0.0219985744688884-0.000678530503002662i
0.0189154392791533-0.00254481515938883i,-0.0404669361096631-0.0447153770216341i,-0.029370132586634-0.0045975102897436i,0.0410589889829333+0.0144711478849128i,-0.0072326825836748+0.0182952215694332i,-0.0389082090465291-0.0031062636842398i,0.0192128543468214+0.00218217139998801i
0.0101532090324865+0.00104609457946466i,0.0108245387757101+0.0353479925202436i,0.0222401271982327-0.00617015681607732i,0.0235259164159484+0.000605372439428032i,-0.0507356005661213-0.0134754270200481i,0.00428370673133588+0.00130408630935296i,-0.0430916641475602-0.00693377352785692i
-0.0307087642623161-0.000103962756786689i,-0.0261173687153191-0.0246912626892151i,-0.0398691260755237-0.0139746458758478i,0.00964162414840229+0.00700530982272611i,0.0319403924969034+0.0155799993006024i,-0.0466172941216833+0.000688971309666549i,0.0208735870265113+0.0132011406122637i
-0.0266767179118138-0.00340681150026557i,0.0291601337538435-0.0241251101079945i,0.0323789853035587+0.0412722601203549i,-0.00446149534344707-0.0122218181882197i,0.0248929025763841-0.0021961561857051i,0.0393246426953171-0.0046403070308105i,0.0127971111689805-0.0172623995659611i
0.0107829658909363+0.000354298290500386i,0.0119098977458178-0.0178972634970966i,0.0188116675456413+0.0254332449294879i,0.0190652702867249+0.0012434849178414i,-0.00922241638079611+0.00187439106118565i,0.0351537288922688-0.000482806948563514i,0.00857968569737211-0.00512123717968993i
0.013369654644772-0.000759900395561474i,-0.00217671810788712+0.00557883422101289i,0.0110310500819859-0.00967121575772901i,-0.0166847707454677+0.00300423605629937i,0.00489351273238767-0.00501432310919978i,0.0411606049300864+0.00113950084716717i,0.01355413516032+0.00647952790332547i
0.0472185282966698-0.000127563739734343i,-0.0125324392267058+0.00818596135697054i,0.0055703325742316-0.0108301033316989i,-0.0263141095025773+0.00468221747312597i,-0.0190478455396539-0.00459600457003716i,-0.0478580620162616+0.00187524846872718i,0.0126890017688136+0.00682725497279044i
-0.0416760074064774-0.00150126030172971i,-0.0432676359758459-0.0204172299102738i,-0.0403109971589406-0.024550604721904i,0.0195776332157678+0.0116287783563586i,0.0103230079109744+0.0149417168376134i,0.0217884402739208-0.00159253135422388i,0.00494842883867278+0.011763635320254i
