-0.00254733112658993+0.000564657254243159i,0.00487052401924703+0.00556009209068166i,0.0032847867335306-0.00519676080527946i,0.00372022400631708+0.00323836188139795i,0.00856923403755306+0.00588605018084292i,0.00414563456065921+0.00377592905098761i,0.00578109652018629+0.00119774048194306i
-0.00274991102493773-0.00129994593033009i,0.00491829149132084+0.00505776327837908i,0.00128604435819526-0.00356771001529749i,0.00420381795514878+0.00324311083864682i,0.00802535978673619+0.00370109852164726i,0.00281282543269112+0.00314268589706542i,0.0062079378228297-0.00071933338491713i
0.0174050433139466+0.00151749956714592i,-0.00750791872631612-0.00724210555668194i,-0.00453467620878571+0.00748054030341107i,-0.0061004771438038-0.00520389852323595i,-0.0143593226447058-0.00965108824190159i,-0.00550987483924411-0.00421798547249297i,-0.0115445931127869-0.000568641129241662i
-0.000539034181449229-0.000535156329033174i,-0.000459951225055969-0.00064969154501259i,-0.000846585567120225+0.00114979656864653i,-0.00048113781646776-0.000574797507970607i,-0.00136288601055304-0.00135420334166964i,-0.00113091080767938-0.000752395563521961i,-0.000732064721435609-0.000641402191520703i
0.00264273470568849+0.000268248832677638i,-0.00196629123336814-0.00195679487628709i,-0.000375940075217111+0.000753600837976478i,-0.00176554719138587-0.00108189109910019i,-0.00193231646930366-0.000730242448241322i,-0.00028055943255717-0.00156818166998888i,-0.00124153001792147-0.000205165510355036i
-0.000373763388592413-1.40701044350502e-06i,4.95389824519814e-05+0.000558823077867007i,-0.0002172943662778-0.000249042949469345i,7.86454427465197e-05+0.00036791866685804i,0.000279518433516304-0.000466910708053644i,0.000964616016816497+0.00104581568252006i,-0.000349557056156081-0.00014492521052841i
-0.000730281826599501+0.000228050128480148i,-0.00275446897004023-0.0036630101981204i,-0.00174072301028248+0.00399573895999774i,-0.00224414791960202-0.00250761252633182i,-0.00671493822390605-0.00372348971307305i,-0.00419268945554666-0.00259997989353065i,-0.00489950743889196+0.000194008413672101i
-0.00215208204479113-0.000225592231386958i,0.00155091955339967+0.00227630640947184i,-8.26768920176226e-05-0.00108435400214157i,0.00181424165884774+0.00136575552946581i,0.00222879835260539+0.000622515363166651i,0.00155742011779021+0.00260224088829134i,0.000748518149394899-0.000137368745110331i
0.000711322113801806+0.000374090819324917i,-0.00109814147190344-0.00160737716403261i,-0.000398201147394027+0.000975739082031341i,-0.000560474283326511-0.000736618983959994i,-0.00153375320723279+3.89533588024326e-05i,-0.0013972216699958-0.00114597731117221i,-0.000918501063436396+0.000186639348017261i
-0.00189332606057428-0.000936651755082072i,-0.00388135163686811-0.00493964445135704i,-0.00324627761586383+0.00620521568446542i,-0.0029299138859295-0.00344374955299532i,-0.00969008759853544-0.00711322995658557i,-0.00598044065037113-0.00365868003858247i,-0.00681078846810173-0.000671964474033983i
0.010947847418402-3.39917247234407e-05i,-0.00747513667954836-0.00834571624142817i,-0.00543478508054575+0.00935286125360204i,-0.00521780233181277-0.00508284919502977i,-0.0150979084480154-0.0114720688666406i,-0.00769037575839045-0.00548919883380744i,-0.0105188424752322-0.0014698717775902i
-0.0212479190995805-0.00128039434420312i,0.0057782357169991+0.00757036675088974i,0.00381057558044699-0.00879355607254085i,0.00508547308713067+0.00510180672364859i,0.0135413202908042+0.00933552961101634i,0.00878592050011106+0.00632620941191141i,0.00862359889708328+0.000894281106020989i
0.00114646396352262+0.000419031027453314i,0.0032953915731289+0.00313996083739281i,0.00206339823193811-0.00398798800090622i,0.00304172416486254+0.00261417421045497i,0.0073365446335151+0.00607722477583924i,0.00269204560722388+0.00173420723943257i,0.00596445380203445+0.000119342948820094i
-0.000916736314929834-0.00152641837875004i,-0.00405459573737158-0.00436092557566863i,-0.00383794547196736+0.00588770370752601i,-0.002788100454562-0.00299113368787911i,-0.00920839835972228-0.00808193132715103i,-0.00456400864091384-0.00290389355145414i,-0.00664694565870478-0.001417499359977i
-0.000378759354789223-0.000577162590394465i,0.00314081761183791+0.00339390679924534i,0.00161604476497672-0.00348538360601665i,0.00331422035512483+0.00261859941411714i,0.00645798350470284+0.00385649774724088i,0.00285529852216281+0.00221068881587255i,0.00504051450438887+0.000138105831495741i
0.000580712863667617+0.000482951032458559i,-0.0018388894186069-0.00144277958086419i,-0.000798689327350896+0.00165702071970031i,-0.00303218716439374-0.00165743542545418i,-0.00375643060273263-0.0026414279566514i,-0.000441825228410135-0.000726812475463723i,-0.00343517117693112-0.000284893042584084i
-0.000948369432431268-0.00144331661786092i,-0.00237128755721528-0.00395152168374219i,-0.00245307474065699+0.00471879580183799i,-0.00142709382662201-0.00219513985381985i,-0.00597725755654858-0.00427730597228636i,-0.00507321317387424-0.00354278468272016i,-0.00311381967082403-0.0012549413021652i
-8.50050470816568e-05+0.000133772598241012i,0.00180624641420866+0.00357355100507443i,0.000890785093556789-0.00319318893386649i,0.000780011609654776+0.00168185506975861i,0.00434571971608426+0.00142188466809256i,0.00458927588191894+0.00336357357409876i,0.00182452747674709-0.000148558589530367i
-0.0033956218849089+0.000404438412502506i,0.00371960304445748+0.0034240175105627i,0.00233665349872535-0.00287881408595021i,0.00349565489275647+0.00231605814806808i,0.00538758040975255+0.00424251148261082i,0.00121342628008265+0.00240427984018748i,0.00386280959301597+0.00149391296962506i
-0.00129414295616624+0.000894230039760955i,0.000646254150636789-0.000251287440101029i,0.000888069238954689+0.000275355322857409i,0.000505300350258953-0.00014183561134864i,-0.000307017387750932+0.00125381496371519i,-0.00172259269096729-0.000436487951497422i,8.02475706630991e-05+0.00120995414968429i
0.0012791827941515+0.000645388852317911i,0.0013325099980953+0.0011565733787087i,0.00139147272810572-0.00224784581228841i,0.00103710582782876+0.000968938844315205i,0.00337005369090331+0.00343623235958243i,0.00131611042048078+0.000399358256961975i,0.00279088234210456+0.000460987160692843i
0.00409270085793252+0.000143105701021608i,-0.00658089145105785-0.00650512797167743i,-0.00391947375482583+0.0062726575500267i,-0.00567194636574286-0.00453407291926977i,-0.0118127817047006-0.00811924634959204i,-0.0045286786755801-0.00447332985606515i,-0.00888285918263592-0.00121122368752608i
-0.000398620584510049+0.000641189633481231i,0.00504014192026502+0.0060737254857605i,0.00360294502167306-0.00643748215406072i,0.00303085886048564+0.00357602047910096i,0.0104634310931588+0.00721810969315843i,0.00612251607700025+0.00410562643708804i,0.00727248063118865+0.000414456900142217i
-0.000833310768000233+0.000567033299990522i,0.0058778956959147+0.00557960400805203i,0.0044384683392474-0.00644115824256891i,0.00424643369399112+0.00372351493602968i,0.0114942912538608+0.00897645699006692i,0.00423551945141933+0.00271972855217176i,0.00934562087390639+0.000991088219150264i
-0.00259872026662495-0.000690484645648717i,0.00449676023071253+0.00535085261631816i,0.00201643950574379-0.0042372550493393i,0.00456716147082782+0.00369203028269077i,0.00798016581941436+0.0037937556059965i,0.00439960860923815+0.0044547650263882i,0.00529652994753615+0.000300321790634335i
-0.000391771337717294+0.00123653020154239i,0.00480367987832462+0.00433577618697139i,0.00431446567686915-0.00580398604578042i,0.00378378019554602+0.00323376023895543i,0.00983325649245694+0.00889499750651533i,0.00352634364359313+0.00240073559297938i,0.00784141453296888+0.00161166794962817i
-0.00212535142977172+0.000513109662381958i,0.000421505885826465-0.00118396919210109i,0.00066835166590912+0.00135159042812385i,0.000143784478549448-0.000875261468732721i,-0.00142248033820628+0.00123983448407947i,-0.00357896336320734-0.0019514836752822i,-8.75356232951799e-05+0.000777901379873779i
0.0025379969891518+0.000463911252968022i,-0.000868106090775294+0.000120718994025882i,9.8162549199276e-05-0.000957931981177748i,-0.00132743522345249-0.000192118651719257i,0.000298461586396177+4.1572644670446e-05i,0.00204785978587309+0.000229322177300586i,-0.000231278160916874-0.00031711118982713i
0.0192071245794799+0.00161021060264414i,-0.00737625710031951-0.00815496679081242i,-0.00397519947921207+0.00852044856682038i,-0.0059964537472235-0.00568293097878484i,-0.0153867596732335-0.00989603499101865i,-0.00747252941168312-0.00545056328288828i,-0.0115150942688244+5.98747177069112e-05i
