-0.0372406004608786-0.00431225003441732i,0.0362757710435469-0.0124735291133284i,-0.0218591912372985+0.0101370772754491i,-0.00360136611803061+0.000926788665104865i,0.0688903737205145+0.00894314260810834i,0.0249470946069131-0.000567597696452476i,-0.0137894345243565-0.0127048700715339i
0.0377558351570504+0.00240625470695985i,0.0304151464566983+0.00853840784297175i,0.0140967499942773+0.0053068406212417i,0.0117188750171117-0.0115267880358377i,-0.0283333078760261+0.00365732920022672i,0.0166385622515326+0.00208465754176905i,0.043479344620294-0.00417542435871319i
-0.0300078112909657+0.00544217193490445i,0.0103379417461954+0.0076065743960896i,-0.0296232232922422+0.000768877941410939i,-0.0254402227999311-0.0182316399296447i,0.00925053342810014+0.00819564468574705i,0.0331239853794068+0.000641194920688185i,0.0190565576438319+0.007957816507111i
0.00950601058369648+0.000978829497602213i,-0.0385862601495668-0.0301556952265587i,-0.00467932781756032+0.040175221088671i,-0.0262012088447569-0.00347478981418793i,-0.0553254086424128+0.00049813422967095i,0.0151995923100099-0.000126936494054785i,-0.013313576754604-0.00473571472625859i
0.0177818864803593+0.00253684815094899i,-0.0240159153542254-0.0253466005598326i,0.0282039577491695+0.0424754843560277i,0.0209292465230613-0.00305107503481025i,-0.0298046417779595-0.0101353705818435i,0.00720716505484877+0.000463686910464086i,-0.0304641893238689-0.00220120013169522i
0.00242281117530769+0.000980514399604373i,-0.0529930404779249-0.0381008985180367i,-0.00426890956838761+0.00274553294065042i,-0.00271039834979976+0.00699651327008421i,-0.022909312152584+0.0111991125431597i,-0.0340115199836041+0.00184737615729339i,0.0532700817896039+0.018415147617645i
0.00159203968084919+0.000956987160766374i,-0.00897134885448389+0.0162539822898147i,0.0348244222941323-0.00651841591818579i,0.017350599215688+0.00247293120641922i,7.95502811972559e-05-0.0159705203141872i,0.0319744552872884+0.000535137646190785i,-0.0191411359211836+0.00553568434749851i
0.0208135017588223+0.00209223915830937i,-0.0488861637285696+0.00756245942419081i,0.00182968216140405-0.00964865121573533i,-0.0509064570524076+0.0061896975371561i,-0.0227884526952468-0.0157349717761016i,0.00787492940870835+0.00123050968131414i,-0.0196590773147374+0.0135619628317436i
0.00580967672547198+0.000326567676464609i,0.0456693698621832+0.0334946634493771i,0.0376353992795202+0.00213468275343394i,-0.024106659331367-0.0121900198972875i,0.0131601110183166-0.0162839338041011i,0.0302182048339996+2.94493254003824e-05i,0.00391625143323639-0.00609686758193056i
0.0272533921269046-0.00309535212474986i,0.023917809839399-0.00958975741267938i,-0.00406726826836462+0.0350955058301507i,-0.0963311260529317-0.0157266556694778i,0.00172923971005642+0.00191994013530018i,-0.00950600447360618-0.00162399528307797i,0.027628101023416-0.0149788503032173i
-0.0137683363452933-0.00399805073877083i,0.00477112120932442-0.0322560820416803i,-0.0293527254270094+0.0252964397926415i,0.0533777929174615+0.0123989940992272i,-0.0176793643788478+0.0100776230468833i,0.0872270348646533-0.00169174148724067i,-0.0535237712626267-0.0194523219213503i
0.0490028504930977-0.00672745884510404i,-0.0153018646578601-0.0543788656512063i,0.0560084344396904+0.067113014380561i,0.0554408857033315-0.00373457939459796i,-0.01816382144324+0.00750619676303404i,0.0466764731406022-0.00315972291909524i,-0.00953167063546814-0.0211650902858089i
-0.00227903271837568-0.00228952685456067i,0.0389508969190372+0.00605819894306079i,-0.0404531058916306+0.0074014448244586i,0.00188701299670485-0.0106208948536953i,0.025258363762346+0.0108809228675271i,-0.00765013078237025-0.000869864896575483i,-0.0320361764001392-0.017582588499825i
0.0453226059943875+0.000828627377223206i,-0.0264768099474945+0.00970275217618767i,0.00732577898529683-0.0034066152497325i,-0.0199371241214907+0.00508471496163373i,-0.031573988832244-0.0126385325053953i,-0.0531729885728598+0.00157945244782697i,-0.0268906398854259+0.00374719104208847i
-0.0351400946464658+0.00254233195784957i,-0.011119504256241-0.0373171171494115i,0.0109281642498839+0.0255569206255682i,0.0326552703549554+0.00229034924025379i,0.0377694057284059+0.00322253038505841i,0.0223195659427709+0.000282605681965065i,0.00870967981215967+0.00847632616801108i
-0.00659503658030801+0.00598129679509227i,-0.00984357309279698+0.014766672576564i,0.0382207282098051-0.0213275480087022i,0.0679417071422324+0.0151255694355736i,0.0233678595565263-0.0206919276099425i,0.0255104503155077+0.00110208758655253i,-0.0327044020090094+0.0175020709901548i
0.0524755275928806-0.000387570754615934i,-0.0234096402681156+0.00523934675405574i,-0.00970382427221641-0.00890447477352687i,-0.0636444871430041-0.000357153907003482i,-0.0486113669393812+0.000294255400753634i,-0.0898017702038228+0.000741244287557435i,0.0314523636778036+0.00235747898626089i
0.00447581646160385+0.0057481799854763i,-0.0156772549794089+0.0155206720814551i,0.00163643256047671-0.0269326734054262i,0.0509581485775472+0.00937571329086507i,-0.0322049631591371-0.00653152812647871i,-0.00386403567937691+0.00148434379363257i,-0.00453088801788831+0.0153684859791742i
0.00567189139804464+0.00237333509560783i,-0.0192993824113498-0.0026227325126513i,-0.0105097553451449+0.00601409839540092i,-0.0249228324365068-0.00496577273911271i,0.000226685112184851-0.00366977826196242i,0.00243428811462923+0.000872135692842668i,-0.0102998599738879+0.0076346069707668i
-0.0138529398925833-0.00136657088078391i,0.00549516623898942-0.00483292421915942i,0.0111271956976783-0.00146308600865862i,-0.0133914746596026+0.0071414301570556i,0.0171996814266328-0.00248553909207222i,-0.0279772187794007+0.000701922617513448i,0.0126948768814218+0.000315679355450262i
0.0215777691331971-0.00205914279581608i,-0.00625408684519972-0.00778802475479264i,0.0327026074635359+0.0219984870213332i,-0.00860105987862995+7.07945312875833e-05i,-0.0390136236945144-0.00530362265994963i,-0.0185852003594742+7.37038001124128e-05i,0.00245138986599744-0.00982106038841752i
-0.0157918349187709+0.00323574819531649i,0.0157238470124398+0.0307960586746841i,0.0157817935448684-0.0427497511055366i,0.00618862975987573+0.00215201048671064i,-0.0147724061476564+8.0455454530413e-05i,-0.0284725115393356+0.0030789297556956i,0.0618464987633738+0.0123017523765225i
-0.00132767406738396+0.00696166676716753i,-0.00727526620116729+0.0172541401846445i,0.0334410356716801+0.00564051960965152i,-0.0201417759412984-0.0089977133388047i,-0.0281863097391521-0.0177166516823134i,0.0103977082468726+0.00301528997048897i,0.00776171563964432+0.0106663679126264i
0.032846024828027-0.00144905591750696i,0.0036568053647426+0.00162402548639648i,0.0281464856317852+0.023649800724892i,0.0216115779732601-0.0059531183866593i,-0.0512233059368502-0.00160955916264468i,-0.033219592494219-0.000544265296446615i,-0.0200648401887307-0.0197235034385362i
0.0466128947766048-0.0057126258122207i,0.0444927107990807+0.0333180577753896i,-0.0296765850384274+0.0151508230675173i,-0.0376410447043413-0.0181436877643859i,-0.0226734971838697+0.000659460234706122i,-0.0722662072738661-0.00145638116254809i,-0.0704834917529712-0.0382965934063713i
-0.0534398270923092+0.00213911436826891i,0.0452958535618397+0.0345279166901648i,0.0138953286439446-0.0421461982246703i,-0.084322307770484-0.00829680080773088i,0.0758012524424008-0.00383970196676753i,0.0181229328471883+0.00123280087023539i,0.0996265421534926+0.0212622694203249i
0.0133235063953875+0.00204850972216483i,0.00266758237928241+0.0360653903652147i,0.0481856568682499-0.0275344050875585i,-0.0428578006106732+0.00427526340610676i,-0.012651781182485-0.0213435274831527i,0.0728824691610399+0.000622308219881585i,0.0269846000855353+0.0130677852399885i
0.0470631501762617+0.000123961009943941i,0.00646603595998823+0.0301778365406549i,0.00465330423889677-0.0260775592935659i,0.0199065084207903+0.00896056546902275i,-0.0212591347776762-0.00830276905384636i,-0.0577447754126802+0.000176803521537527i,-0.0257211834860021-0.00466321230397412i
-0.0118025033168107+6.07715842210089e-05i,0.0260205858812224+0.0276836700568354i,0.0137177428081878-0.00798611115920678i,-0.0218780843861464-0.00363376415239i,0.0372301418298054-0.0144488392328376i,0.0284614117587814-0.00111283153495727i,-0.0218655873951423-0.00247434639882413i
0.00729628616521603-0.00504488606400729i,-0.052724827489383-0.0607824882588263i,-0.0388576920777525-0.00546376446395171i,0.0500590695263269+0.0249265493986417i,-0.015036306427669+0.0324411097179223i,-0.0410008974330523-0.00180731570435157i,0.0270660246837096+0.00278276109216525i
0.00181106921024909+0.00218377879733016i,0.00842162272955465+0.0373615339466849i,0.0187528847039892-0.00232245152027712i,0.0286104258383757-0.00370671790467742i,-0.0593746056510479-0.0170260928845489i,0.00511541283335692-0.000221842896177864i,-0.0588613795536509-0.0104175883733994i
-0.0256324489369999-2.71112346933357e-06i,-0.0222143138429738-0.0298615435467664i,-0.0393265840559853-0.0198947796324595i,0.0229119630129884+0.00807566963437278i,0.0559762492543532+0.021313661048488i,-0.045691346189426+0.00168373626016755i,0.0400822090031837+0.0193300594504548i
-4.36797243693926e-06-0.00675937409543689i,0.0358840679683895-0.0243441651864508i,0.0456702709705555+0.0556733845533432i,-0.0162651701179879-0.0134532530854228i,0.0148393269532923+0.00312048416925434i,0.0373413634142998-0.00394586601114185i,0.0110354556409559-0.0274983925180975i
0.0208981521889064+0.00115554666789335i,0.0105218153378645-0.0218431085110424i,0.0154713557911467+0.0321379061987964i,0.0179769400011938+0.00335021749843406i,-0.0299034513508124-0.00158475348591671i,0.0298833604809367-0.000660850456033694i,4.14171958533071e-05-0.00904804009551917i
0.0138322858947351-0.000784822726523237i,-0.00180451314301062+0.0105953672846732i,0.0143771513795079-0.0127148846440706i,-0.027508433524491+0.00470982872535816i,-0.00382625439417771-0.00669300087032797i,0.0428977020611078+0.000480222180526676i,0.0159009323936792+0.00386380891395347i
0.0204750315451239+0.000522789606894487i,-0.0291665520789563+0.00797455100693726i,-0.0038231690851096-0.0155525038540611i,-0.0449646782502949+0.00798087283406584i,-0.0252013222865939-0.00749232332752468i,-0.058220883460309+0.00136842653700181i,0.00375596199738419+0.0089299253923697i
