-2.94659119021937-0.0184004605251657i,0.00275959423855822+0.0290436527105229i,0.0728202380729925+0.0354715212575222i,-0.238234678722465-0.0218940504872969i,-0.503676006763723+0.00167065079274044i,0.394139170770977-0.0948328369377561i,-0.406293091185868+0.0722055276390207i
0.00979295760265416-0.000160741655492669i,0.0885420106681313+0.00245483859770023i,-0.00756091694719348+0.00550050666578649i,0.0535725304369363-0.0143980282679059i,0.00178550614124322+0.0204925928045628i,-0.0419696654822223+0.0044838525362706i,0.056508770690382-0.0134720104453521i
-0.00323762122315244-0.00167590350295287i,-0.033269083753355-0.0197783901849246i,-0.0396478658279608-0.00506488477540833i,-0.0157870896367954+0.00837004183624387i,0.00644246265121118+0.0115925324745959i,0.0186059436561075-0.00253890234438847i,-0.0212631514822684+0.00735165299745171i
0.0056168818712777-0.000179444020272741i,-0.0270722509953425-0.0170002325937398i,0.0123307148859986-0.00826421258555457i,0.0810217146828434+0.00436846765973519i,0.0121409291716987+0.00131112811844691i,0.013047761910483-0.000212718784077401i,0.0110803233080357+0.0176909403285775i
-0.0198140957540166+0.00157299615955852i,-0.027677244847303+0.00924258602529251i,0.0325419705599182+0.00238201291620648i,-0.0179109897913484-0.0242763266623757i,0.0389074817248702-0.00430057395088631i,-0.119745151233797-0.00343646358523086i,0.0460933997983868+0.012756241087049i
-0.00913274848054066+0.00524459445243535i,0.0224277403452017+0.0324298775478654i,-0.109066122439139-0.0840822249123299i,-0.0213427889258664+0.0109637683307717i,0.0705692651938481-0.020822945011898i,-0.0202185497755699+0.0155879200537524i,0.0236641698859015+0.0440952148944078i
0.000324213445832963-0.00321341343213966i,-0.0431999085360998-0.0271367349150848i,0.0542795446254376+0.0357733288771606i,0.00467394913161266+0.0084015375990947i,-0.014371351268494-0.00550350385887025i,-0.0227780959056762-0.0118514711159012i,0.0178288950535357+0.000535462416129114i
0.00791831716614058+0.00211065086668868i,0.0422056202166019+0.0136143606494856i,0.0189709104034039-0.0227006988157803i,0.0552150674683348-0.00515915750922721i,0.0308857308735185+0.00342330502479946i,0.0215922622624024+0.0123326482951112i,0.0383947883184029-0.00124730827054468i
0.000731061265347501-0.00167957830411467i,-0.00390928597179633-0.00264119156576002i,-0.0350483656175933+0.00761965057123229i,-0.0460125769269725+0.000489069304788061i,-0.0468124857583314+0.00796810955117096i,0.00913156548148096-0.00527663791433367i,-0.0316511954134839-0.00679167656452499i
0.00910855358269245+0.00158116193040055i,-0.0198109846675707+0.001484857037893i,-0.0611802089394556-0.0267187916395667i,-0.0595710365403151+0.0121256844339608i,-0.0233400831042532+0.00725140971964008i,0.0160762511022083+0.0165305041874712i,0.000771356852626562-0.00506768799279559i
0.0138679132195756+0.003841610566058i,0.0527252605218575-0.00709698765377603i,0.0440975595344516+0.0188091465503172i,0.0586234613223009-0.0144579558477421i,0.0297843239043137-0.00408170971268816i,0.0620610254178032+0.00544723472999721i,0.0182784464062089-0.00444311564737446i
