-12.8228214749869-0.000166028132883173i,0.0138275966610193-1.76602929341949e-06i,0.0138275966932755-1.76603196136017e-06i,0.013827596678159-1.76602688122602e-06i,0.0138275967396729-1.76601934089724e-06i,0.0138275094962329-1.76572703920686e-06i,0.0138275974889855-1.76602545170928e-06i
-0.0214332671397372-7.23852167762017e-06i,-0.000694716970307397-1.8312054044913e-06i,-0.000694716977790562-1.83120675242806e-06i,-0.000694716961892095-1.83120879097079e-06i,-0.000694716956799223-1.83122212082873e-06i,-0.000694718550823539-1.83075601090125e-06i,-0.000694716949287196-1.831214602059e-06i
0.047706730704552-7.17177278046335e-06i,-0.003586319425759+2.73297321493528e-07i,-0.00358631942800313+2.73299769615753e-07i,-0.0035863194357061+2.73304135006659e-07i,-0.0035863194399795+2.73302216099543e-07i,-0.00358630507680034+2.73371390253749e-07i,-0.00358631954056024+2.73298122891812e-07i
0.061890235826707+1.02908096039549e-07i,-0.00289772974563699+1.03613601132311e-06i,-0.0028977297322078+1.03613454311308e-06i,-0.00289772973335709+1.03613013424927e-06i,-0.00289772973638074+1.0361376405926e-06i,-0.00289773505864944+1.03581290413137e-06i,-0.00289772971431841+1.03613601349706e-06i
-0.0817513863189571+9.86626476204552e-06i,0.0112004887375281+5.37959834307484e-06i,0.0112004887336586+5.37959750464409e-06i,0.0112004887339535+5.37960505747114e-06i,0.0112004887558848+5.37960339582883e-06i,0.0112004768078479+5.37933820994891e-06i,0.0112004888412867+5.37960146198518e-06i
-0.0304824742782111-3.11187546377441e-06i,0.00262535149305919-1.50945372313995e-07i,0.00262535149394778-1.509505837475e-07i,0.00262535148520643-1.5096033510919e-07i,0.00262535147443513-1.50954710074541e-07i,0.00262535065031974-1.51110525497311e-07i,0.00262535149249796-1.50953937344704e-07i
0.00148928744823662-1.4719846807731e-05i,0.00616867247076351+2.90512387685342e-07i,0.0061686724603072+2.90509297413192e-07i,0.00616867246144876+2.90502242760413e-07i,0.00616867246109141+2.90502431949317e-07i,0.00616868257335313+2.90529139575912e-07i,0.00616867238654246+2.90507433958318e-07i
0.127707456425552+2.1519213551528e-05i,-0.0066007056708148-1.78821714407724e-06i,-0.00660070568460333-1.78820843062934e-06i,-0.00660070566282571-1.78822043792596e-06i,-0.00660070570055168-1.78822980611119e-06i,-0.0066006660599122-1.78845037483065e-06i,-0.00660070604770068-1.78822063705479e-06i
0.033701100626784-3.58898036923021e-05i,-0.00542510424094837-2.91368174408629e-06i,-0.00542510424363876-2.91367950831154e-06i,-0.00542510423766002-2.91369166717321e-06i,-0.00542510425939735-2.9136964511451e-06i,-0.00542508907212277-2.91326627881537e-06i,-0.00542510439750825-2.91369475551416e-06i
0.0398258107888597-3.66220075924578e-05i,-0.00604808032279454-5.0146444503582e-06i,-0.00604808031007099-5.01463520022199e-06i,-0.00604808030829159-5.0146358795869e-06i,-0.00604808030133899-5.01463588210093e-06i,-0.00604808337542562-5.01329955875261e-06i,-0.00604808027714721-5.01464311033259e-06i
-0.0202997306910938+1.68693551039571e-05i,0.00424259180504204+3.74741617530632e-08i,0.00424259180715254+3.74691150916044e-08i,0.00424259180495339+3.74693629691706e-08i,0.00424259178641813+3.74738575626538e-08i,0.00424260037538363+3.71213590036292e-08i,0.00424259173312309+3.74697016890254e-08i
0.168953673674192+2.47237608387725e-05i,-0.00515393578674511+9.72105531354096e-07i,-0.00515393578015053+9.72105930404821e-07i,-0.00515393578359515+9.72109914987715e-07i,-0.00515393579858963+9.72109729798758e-07i,-0.00515390956254058+9.71646304784151e-07i,-0.00515393601887171+9.72113308132866e-07i
